"","animal_name","hair","feathers","eggs","milk","airborne","aquatic","predator","toothed","backbone","breathes","venomous","fins","legs","tail","domestic","catsize","class_type","size"
"1","aardvark",1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,70.6481950228164
"3","bass",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,1.04374201668266
"5","boar",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,187.95367000813
"8","carp",0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,67.3380176944104
"11","cheetah",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,113.334284827879
"14","clam",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,33.1553561308121
"18","deer",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,63.7316096947589
"20","dolphin",0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,149.289100716181
"27","frog",0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,212.918025887151
"38","hawk",0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,99.2878562410702
"42","kiwi",0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,100.28948312049
"44","lark",0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,69.0392187882237
"48","lynx",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,68.1279014179899
"50","mole",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,153.689429083717
"54","octopus",0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,169.871759489338
"56","oryx",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,8.35208438005873
"57","ostrich",0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,14.7500449559372
"58","parakeet",0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,192.223430728621
"60","pheasant",0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,107.775009341851
"63","pitviper",0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,265.084253074228
"67","porpoise",0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,70.5192907232785
"70","raccoon",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,38.6615850737787
"80","skua",0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,47.3958111605074
"82","slug",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,59.1096168180921
"89","termite",0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,75.8483557315249
"91","tortoise",0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,92.9509951396611
"92","tuatara",0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,94.428869270784
"95","vole",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,97.7012149033361
"98","wasp",1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,5.97814579151957
